Line,Item,Quantity,Unit,Description,Price,Proposal,Call Order,Agency ID,Section,Is Favorite
0001,0000100000-N,1,LS,MOBILIZATION,,C204988,003,NCDOT,0001,false
0002,0000400000-N,1,LS,CONSTRUCTION SURVEYING,,C204988,003,NCDOT,0001,false
0003,0015000000-N,3,EA,SEALING ABANDONED WELLS,,C204988,003,NCDOT,0001,false
0004,0043000000-N,1,LS,GRADING,,C204988,003,NCDOT,0001,false
0005,0050000000-E,1,ACR,SUPPLEMENTARY CLEARING & GRUBBING,,C204988,003,NCDOT,0001,false
0006,0057000000-E,100,CY,UNDERCUT EXCAVATION,,C204988,003,NCDOT,0001,false
0007,0134000000-E,7140,CY,DRAINAGE DITCH EXCAVATION,,C204988,003,NCDOT,0001,false
0008,0195000000-E,100,CY,SELECT GRANULAR MATERIAL,,C204988,003,NCDOT,0001,false
0009,0196000000-E,1000,SY,GEOTEXTILE FOR SOIL STABILIZATION,,C204988,003,NCDOT,0001,false
0010,0199000000-E,500,SF,TEMPORARY SHORING,,C204988,003,NCDOT,0001,false
0011,0318000000-E,1540,TON,"FOUNDATION CONDITIONING MATERIAL, MINOR STRUCTURES",,C204988,003,NCDOT,0001,false
0012,0321000000-E,4820,SY,FOUNDATION CONDITIONING GEOTEXTILE,,C204988,003,NCDOT,0001,false
0013,0344000000-E,124,LF,"18"" SIDE DRAIN PIPE",,C204988,003,NCDOT,0001,false
0014,0366000000-E,272,LF,"15"" RC PIPE CULVERTS, CLASS III",,C204988,003,NCDOT,0001,false
0015,0372000000-E,232,LF,"18"" RC PIPE CULVERTS, CLASS III",,C204988,003,NCDOT,0001,false
0016,0378000000-E,1824,LF,"24"" RC PIPE CULVERTS, CLASS III",,C204988,003,NCDOT,0001,false
0017,0384000000-E,280,LF,"30"" RC PIPE CULVERTS, CLASS III",,C204988,003,NCDOT,0001,false
0018,0390000000-E,592,LF,"36"" RC PIPE CULVERTS, CLASS III",,C204988,003,NCDOT,0001,false
0019,0396000000-E,344,LF,"42"" RC PIPE CULVERTS, CLASS III",,C204988,003,NCDOT,0001,false
0020,0402000000-E,112,LF,"48"" RC PIPE CULVERTS, CLASS III",,C204988,003,NCDOT,0001,false
0021,0414000000-E,48,LF,"60"" RC PIPE CULVERTS, CLASS III",,C204988,003,NCDOT,0001,false
