Payitem,Global Weighted Avg,Proposal Quantity,Global Unit Price Prediction
0000100000-N,916759.75,1.0,916759.75
0000400000-N,346521.08,1.0,346521.08
0015000000-N,3105.08,3.0,9315.24
0043000000-N,1446512.43,1.0,1446512.43
0050000000-E,7354.7,1.0,7354.7
0057000000-E,29.99,100.0,2999.0
0134000000-E,12.82,7140.0,91534.8
0195000000-E,25.26,100.0,2526.0
0196000000-E,2.6,1000.0,2600.0
0199000000-E,54.34,500.0,27170.0
0318000000-E,59.05,1540.0,90937.0
0321000000-E,3.93,4820.0,18942.6
0344000000-E,96.22,124.0,11931.28
0366000000-E,93.41,272.0,25407.52
0372000000-E,111.9,232.0,25960.8
0378000000-E,136.53,1824.0,249030.72
0384000000-E,169.93,280.0,47580.4
0390000000-E,212.74,592.0,125942.08
0396000000-E,268.8,344.0,92467.2
0402000000-E,312.51,112.0,35001.12
0414000000-E,656.5,48.0,31512.0
0448000000-E,538.68,72.0,38784.96
0448200000-E,108.38,4544.0,492478.72
0448300000-E,129.32,4128.0,533832.96
0448400000-E,162.09,1684.0,272959.56
0448500000-E,205.59,192.0,39473.28
0582000000-E,102.68,8.0,821.44
0636000000-E,1040.94,2.0,2081.88
0995000000-E,35.64,1340.0,47757.6
1099500000-E,26.36,1250.0,32950.0
1099700000-E,42.35,2500.0,105875.0
1110000000-E,55.62,250.0,13905.0
1112000000-E,4.33,3750.0,16237.5
1220000000-E,56.92,700.0,39844.0
1297000000-E,2.76,600.0,1656.0
1308000000-E,3.39,2800.0,9492.0
1330000000-E,9.52,1800.0,17136.0
1491000000-E,88.53,15830.0,1401429.9
1503000000-E,85.81,12500.0,1072625.0
1519000000-E,71.41,500.0,35705.0
1523000000-E,78.87,12280.0,968523.6
1575000000-E,693.27,2070.0,1435068.9
1693000000-E,243.34,1660.0,403944.4
2022000000-E,30.29,1680.0,50887.2
2026000000-E,6.45,10000.0,64500.0
2036000000-E,100.36,1680.0,168604.8
2044000000-E,14.75,10000.0,147500.0
2070000000-N,569.13,20.0,11382.6
2077000000-E,46.16,120.0,5539.2
2209000000-E,1860.8,10.5,19538.4
2286000000-N,4385.03,146.0,640214.38
2297000000-E,3079.38,10.0,30793.8
2308000000-E,727.06,64.4,46822.66
2364000000-N,1275.86,48.0,61241.28
2366000000-N,1556.27,2.0,3112.54
2374000000-N,1367.72,19.0,25986.68
2374000000-N,1367.72,38.0,51973.36
2374000000-N,1367.72,38.0,51973.36
2396000000-N,1037.44,1.0,1037.44
2451000000-N,1662.78,26.0,43232.28
2535000000-E,41.31,120.0,4957.2
2542000000-E,29.23,7600.0,222148.0
2549000000-E,35.67,14500.0,517215.0
2591000000-E,65.14,1233.0,80317.62
2605000000-N,2896.51,5.0,14482.55
2612000000-E,110.27,720.0,79394.4
2612500000-N,2803.33,1.0,2803.33
2655000000-E,103.76,1900.0,197144.0
2830000000-N,1308.27,4.0,5233.08
2860000000-N,4095.91,1.0,4095.91
3030000000-E,25.51,250.0,6377.5
3150000000-N,37.13,5.0,185.65
3210000000-N,1074.24,3.0,3222.72
3287000000-N,3362.62,3.0,10087.86
3628000000-E,82.06,140.0,11488.4
3635000000-E,84.16,220.0,18515.2
3649000000-E,85.15,180.0,15327.0
3656000000-E,3.95,2495.0,9855.25
4025000000-E,20.54,446.0,9160.84
4072000000-E,11.01,916.0,10085.16
4102000000-N,113.68,67.0,7616.56
4155000000-N,9.52,32.0,304.64
4400000000-E,10.84,228.0,2471.52
4405000000-E,17.15,416.0,7134.4
4410000000-E,10.76,174.0,1872.24
4430000000-N,61.32,490.0,30046.8
4435000000-N,34.58,50.0,1729.0
4445000000-E,32.97,72.0,2373.84
4447000000-E,60.71,32.0,1942.72
4455000000-N,486.25,120.0,58350.0
4465000000-N,10051.63,2.0,20103.26
4470000000-N,3188.42,2.0,6376.84
4490000000-E,67.67,325.0,21992.75
4500000000-E,5.63,196.0,1103.48
4510000000-N,76.3,42.0,3204.6
4516000000-N,44.26,50.0,2213.0
4650000000-N,9.15,576.0,5270.4
4685000000-E,0.71,24428.0,17343.88
4695000000-E,2.43,2219.0,5392.17
4700000000-E,3.13,525.0,1643.25
4709000000-E,12.83,593.0,7608.19
4720000000-E,124.2,20.0,2484.0
4725000000-E,161.76,72.0,11646.72
4810000000-E,0.27,74453.0,20102.31
4820000000-E,0.87,460.0,400.2
4835000000-E,4.03,220.0,886.6
4845000000-N,54.3,48.0,2606.4
4850000000-E,0.7,4925.0,3447.5
4860000000-E,1.88,71.0,133.48
4870000000-E,5.85,58.0,339.3
5325200000-E,105.59,22.0,2322.98
5325800000-E,146.66,5186.0,760578.76
5326200000-E,189.1,8816.0,1667105.6
5329000000-E,13.14,49281.0,647552.34
5536000000-E,1906.26,2.0,3812.52
5540000000-E,3257.27,12.0,39087.24
5546000000-E,4508.8,22.0,99193.6
5558000000-E,7227.65,16.0,115642.4
5589200000-E,13111.3,8.0,104890.4
5606000000-E,6118.13,7.0,42826.91
