County,Latitude,Longitude
Rockingham,36.4335041,-79.8296743
Randolph,35.7449531,-79.8296743
Moore,35.3674493,-79.4703885
Dare,35.6549619,-75.62080879999999
Buncombe,35.59313770000001,-82.4752757
Chatham,35.6978371,-79.29021329999999
Lenoir,35.2326725,-77.6077865
Yadkin,36.2023597,-80.6770787
Wake,35.8031909,-78.5660852
Nash,35.9597948,-77.973865
Vance,36.3479057,-78.4297187
Cleveland,35.361354,-81.6035062
Granville,36.2799451,-78.6114999
Catawba,35.6840748,-81.2518833
Haywood,35.624394,-82.99316069999999
Robeson,34.6383858,-79.1096901
Franklin,36.0730279,-78.24761459999999
Brunswick,34.0275398,-78.2020387
Guilford,36.0899873,-79.8296743
New Hanover,34.2154913,-77.88245959999999
Graham,35.3634623,-83.804868
Burke,35.7616931,-81.73494199999999
Madison,35.8237518,-82.6915429
Edgecombe,35.8840053,-77.6536125
Mecklenburg,35.2632655,-80.8543847
Richmond,35.003045,-79.7848422
Mitchell,36.0277763,-82.1496049
Johnston,35.4403514,-78.3842227
Rowan,35.6303455,-80.54384499999999
Gaston,35.2895651,-81.20781640000001
Pender,34.5170729,-77.8367282
Montgomery,35.3587922,-79.87448359999999
Durham,36.0483715,-78.8835548
Forsyth,36.1200003,-80.1875065
Union,34.9338651,-80.54384499999999
Wilson,35.6925497,-77.88245959999999
Duplin,34.8840095,-78.0195387
Person,36.3528221,-78.9288242
Davidson,35.7748479,-80.1875065
Martin,35.8733053,-77.1485163
Columbus,34.2548658,-78.74762079999999
Transylvania,35.2190534,-82.7778579
Craven,35.0877672,-77.0564464
Hertford,36.3761772,-77.0564464
Alamance,36.0117388,-79.4253776
Harnett,35.35786480000001,-78.8835548
Lee,35.4693744,-79.1548533
Surry,36.3743453,-80.6770787
Stokes,36.4244396,-80.23213129999999
Jackson,35.3265409,-83.12200740000002
Rutherford,35.4258737,-81.909826
Iredell,35.8310501,-80.89865019999999
Camden,36.2600564,-76.0391909
Polk,35.2686842,-82.1713632
Warren,36.4352131,-78.0195387
Sampson,34.9197548,-78.3842227
Wayne,35.3565499,-77.973865
Orange,36.0263022,-79.1096901
Cabarrus,35.4168123,-80.5882803
Caswell,36.3860217,-79.29021329999999
Northampton,36.4159635,-77.4242972
Lincoln,35.4637028,-81.20781640000001
Pamlico,35.1337865,-76.6874701
Carteret,34.9019263,-76.5488232
Bladen,34.5882404,-78.5660852
Pitt,35.5589221,-77.4242972
Macon,35.1197519,-83.33618799999999
Hoke,35.0432488,-79.24511489999999
Stanly,35.30145540000001,-80.23213129999999
Anson,34.9054732,-80.1875065
Scotland,34.8451203,-79.4703885
Swain,35.4328955,-83.46435509999999
Onslow,34.6540094,-77.4701972
Wilkes,36.202858,-81.2518833
Mcdowell,35.6984405,-82.08429009999999
Henderson,35.3725873,-82.4319405
Beaufort,35.4613504,-76.91820969999999
Cumberland,34.9542604,-78.74762079999999
Currituck,36.4189826,-75.94632399999999
Cherokee,35.1134803,-84.05902900000001
Caldwell,35.9227448,-81.5596427
All Counties,35.54089568888889,-79.6492168765432
