Proposal,Proposal Type,Proposal Description,Line,Item,Item Type,Item Description,Item Description Subset,Quantity,Unit,Vendor Name,Unit Price,Extension,County,Date,Total Contract Amount,Latitude,Longitude
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,"POLIVKA INTERNATIONAL COMPANY, INC.",545500.0,545500.0,MECKLENBURG,07/18/2023,8155730.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,CROWDER CONSTRUCTION COMPANY,648189.36,648189.36,MECKLENBURG,07/18/2023,12963787.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,2,0000400000-N,ROADWAY ITEMS,CONSTRUCTION SURVEYING,,1.0,LS,"POLIVKA INTERNATIONAL COMPANY, INC.",95500.0,95500.0,MECKLENBURG,07/18/2023,8155730.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,2,0000400000-N,ROADWAY ITEMS,CONSTRUCTION SURVEYING,,1.0,LS,CROWDER CONSTRUCTION COMPANY,100000.0,100000.0,MECKLENBURG,07/18/2023,12963787.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,3,0000700000-N,ROADWAY ITEMS,FIELD OFFICE,,1.0,LS,"POLIVKA INTERNATIONAL COMPANY, INC.",25000.0,25000.0,MECKLENBURG,07/18/2023,8155730.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,3,0000700000-N,ROADWAY ITEMS,FIELD OFFICE,,1.0,LS,CROWDER CONSTRUCTION COMPANY,488289.14,488289.14,MECKLENBURG,07/18/2023,12963787.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,4,0000820000-N,ROADWAY ITEMS,GENERIC MISCELLANEOUS ITEM (DAY),RAILROAD CONTRACTOR PROTECTIVE SERVICES,300.0,DAY,"POLIVKA INTERNATIONAL COMPANY, INC.",2450.0,735000.0,MECKLENBURG,07/18/2023,8155730.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,4,0000820000-N,ROADWAY ITEMS,GENERIC MISCELLANEOUS ITEM (DAY),RAILROAD CONTRACTOR PROTECTIVE SERVICES,300.0,DAY,CROWDER CONSTRUCTION COMPANY,1848.0,554400.0,MECKLENBURG,07/18/2023,12963787.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,5,0043000000-N,ROADWAY ITEMS,GRADING,,1.0,LS,"POLIVKA INTERNATIONAL COMPANY, INC.",1475500.0,1475500.0,MECKLENBURG,07/18/2023,8155730.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,5,0043000000-N,ROADWAY ITEMS,GRADING,,1.0,LS,CROWDER CONSTRUCTION COMPANY,1220918.03,1220918.03,MECKLENBURG,07/18/2023,12963787.0,35.2632655,-80.8543847
C204176,"GRADING, DRAINAGE, AND CULVERT., GRADING, DRAINAGE, AND PAVING.",CHARLOTTE GATEWAY STATION - RAIL (STI); WYE CONNECTION TRACK AT CHARLOTTE JUNCTION.,6,0050000000-E,ROADWAY ITEMS,SUPP CLEARING & GRUBBING,,1.0,ACR,"POLIVKA INTERNATIONAL COMPANY, INC.",17500.0,17500.0,MECKLENBURG,07/18/2023,8155730.0,35.2632655,-80.8543847
