Proposal,Proposal Type,Proposal Description,Line,Item,Item Type,Item Description,Item Description Subset,Quantity,Unit,Vendor Name,Unit Price,Extension,County,Date,Total Contract Amount,Latitude,Longitude
C204418,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF US-70 E & W, 1 SECTION OF NC-150, AND 8 SECTIONS OF SECONDARY ROADS.",1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,NJR GROUP INC,292000.0,292000.0,ROWAN,02/20/2024,5911697.0,35.6303455,-80.54384499999999
C204418,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF US-70 E & W, 1 SECTION OF NC-150, AND 8 SECTIONS OF SECONDARY ROADS.",1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,J T RUSSELL & SONS INC,310000.0,310000.0,ROWAN,02/20/2024,6270067.0,35.6303455,-80.54384499999999
C204418,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF US-70 E & W, 1 SECTION OF NC-150, AND 8 SECTIONS OF SECONDARY ROADS.",1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,BLYTHE CONSTRUCTION INC,200000.0,200000.0,ROWAN,02/20/2024,6739833.0,35.6303455,-80.54384499999999
C204418,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF US-70 E & W, 1 SECTION OF NC-150, AND 8 SECTIONS OF SECONDARY ROADS.",2,1220000000-E,ROADWAY ITEMS,INCIDENTAL STONE BASE,,645.0,TON,NJR GROUP INC,40.0,25800.0,ROWAN,02/20/2024,5911697.0,35.6303455,-80.54384499999999
C204418,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF US-70 E & W, 1 SECTION OF NC-150, AND 8 SECTIONS OF SECONDARY ROADS.",2,1220000000-E,ROADWAY ITEMS,INCIDENTAL STONE BASE,,645.0,TON,J T RUSSELL & SONS INC,1.0,645.0,ROWAN,02/20/2024,6270067.0,35.6303455,-80.54384499999999
C204418,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF US-70 E & W, 1 SECTION OF NC-150, AND 8 SECTIONS OF SECONDARY ROADS.",2,1220000000-E,ROADWAY ITEMS,INCIDENTAL STONE BASE,,645.0,TON,BLYTHE CONSTRUCTION INC,48.0,30960.0,ROWAN,02/20/2024,6739833.0,35.6303455,-80.54384499999999
C204418,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF US-70 E & W, 1 SECTION OF NC-150, AND 8 SECTIONS OF SECONDARY ROADS.",3,1245000000-E,ROADWAY ITEMS,SHOULDER RECONSTRUCTION,,33.74,SMI,NJR GROUP INC,2600.0,87724.0,ROWAN,02/20/2024,5911697.0,35.6303455,-80.54384499999999
C204418,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF US-70 E & W, 1 SECTION OF NC-150, AND 8 SECTIONS OF SECONDARY ROADS.",3,1245000000-E,ROADWAY ITEMS,SHOULDER RECONSTRUCTION,,33.74,SMI,J T RUSSELL & SONS INC,2200.0,74228.0,ROWAN,02/20/2024,6270067.0,35.6303455,-80.54384499999999
C204418,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF US-70 E & W, 1 SECTION OF NC-150, AND 8 SECTIONS OF SECONDARY ROADS.",3,1245000000-E,ROADWAY ITEMS,SHOULDER RECONSTRUCTION,,33.74,SMI,BLYTHE CONSTRUCTION INC,2750.0,92785.0,ROWAN,02/20/2024,6739833.0,35.6303455,-80.54384499999999
C204418,"MILLING, RESURFACING, AND SHOULDER RECONSTRUCTION.","1 SECTION OF US-70 E & W, 1 SECTION OF NC-150, AND 8 SECTIONS OF SECONDARY ROADS.",4,1260000000-E,ROADWAY ITEMS,AGGREGATE SHOULDER BORROW,,6513.0,TON,NJR GROUP INC,30.0,195390.0,ROWAN,02/20/2024,5911697.0,35.6303455,-80.54384499999999
