Proposal,Proposal Type,Proposal Description,Line,Item,Item Type,Item Description,Item Description Subset,Quantity,Unit,Vendor Name,Unit Price,Extension,County,Date,Total Contract Amount,Latitude,Longitude
C204540,"GRADING, DRAINAGE, PAVING, SIGNALS, AND CULVERT.",SR-1709 (CENTRAL HEIGHTS RD) AT US-13 (BERKELEY BLVD).,1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,BARNHILL CONTRACTING CO,862350.0,862350.0,WAYNE,11/15/2022,17251380.0,35.3565499,-77.973865
C204540,"GRADING, DRAINAGE, PAVING, SIGNALS, AND CULVERT.",SR-1709 (CENTRAL HEIGHTS RD) AT US-13 (BERKELEY BLVD).,1,0000100000-N,ROADWAY ITEMS,MOBILIZATION,,1.0,LS,FSC II LLC DBA FRED SMITH COMPANY,878750.0,878750.0,WAYNE,11/15/2022,17585500.0,35.3565499,-77.973865
C204540,"GRADING, DRAINAGE, PAVING, SIGNALS, AND CULVERT.",SR-1709 (CENTRAL HEIGHTS RD) AT US-13 (BERKELEY BLVD).,2,0000400000-N,ROADWAY ITEMS,CONSTRUCTION SURVEYING,,1.0,LS,BARNHILL CONTRACTING CO,400000.0,400000.0,WAYNE,11/15/2022,17251380.0,35.3565499,-77.973865
C204540,"GRADING, DRAINAGE, PAVING, SIGNALS, AND CULVERT.",SR-1709 (CENTRAL HEIGHTS RD) AT US-13 (BERKELEY BLVD).,2,0000400000-N,ROADWAY ITEMS,CONSTRUCTION SURVEYING,,1.0,LS,FSC II LLC DBA FRED SMITH COMPANY,190000.0,190000.0,WAYNE,11/15/2022,17585500.0,35.3565499,-77.973865
C204540,"GRADING, DRAINAGE, PAVING, SIGNALS, AND CULVERT.",SR-1709 (CENTRAL HEIGHTS RD) AT US-13 (BERKELEY BLVD).,3,0043000000-N,ROADWAY ITEMS,GRADING,,1.0,LS,BARNHILL CONTRACTING CO,5022679.0,5022679.0,WAYNE,11/15/2022,17251380.0,35.3565499,-77.973865
C204540,"GRADING, DRAINAGE, PAVING, SIGNALS, AND CULVERT.",SR-1709 (CENTRAL HEIGHTS RD) AT US-13 (BERKELEY BLVD).,3,0043000000-N,ROADWAY ITEMS,GRADING,,1.0,LS,FSC II LLC DBA FRED SMITH COMPANY,4539547.06,4539547.06,WAYNE,11/15/2022,17585500.0,35.3565499,-77.973865
C204540,"GRADING, DRAINAGE, PAVING, SIGNALS, AND CULVERT.",SR-1709 (CENTRAL HEIGHTS RD) AT US-13 (BERKELEY BLVD).,4,0050000000-E,ROADWAY ITEMS,SUPP CLEARING & GRUBBING,,3.0,ACR,BARNHILL CONTRACTING CO,1.0,3.0,WAYNE,11/15/2022,17251380.0,35.3565499,-77.973865
C204540,"GRADING, DRAINAGE, PAVING, SIGNALS, AND CULVERT.",SR-1709 (CENTRAL HEIGHTS RD) AT US-13 (BERKELEY BLVD).,4,0050000000-E,ROADWAY ITEMS,SUPP CLEARING & GRUBBING,,3.0,ACR,FSC II LLC DBA FRED SMITH COMPANY,1.0,3.0,WAYNE,11/15/2022,17585500.0,35.3565499,-77.973865
C204540,"GRADING, DRAINAGE, PAVING, SIGNALS, AND CULVERT.",SR-1709 (CENTRAL HEIGHTS RD) AT US-13 (BERKELEY BLVD).,5,0057000000-E,ROADWAY ITEMS,UNDERCUT EXCAVATION,,14600.0,CY,BARNHILL CONTRACTING CO,5.0,73000.0,WAYNE,11/15/2022,17251380.0,35.3565499,-77.973865
C204540,"GRADING, DRAINAGE, PAVING, SIGNALS, AND CULVERT.",SR-1709 (CENTRAL HEIGHTS RD) AT US-13 (BERKELEY BLVD).,5,0057000000-E,ROADWAY ITEMS,UNDERCUT EXCAVATION,,14600.0,CY,FSC II LLC DBA FRED SMITH COMPANY,55.0,803000.0,WAYNE,11/15/2022,17585500.0,35.3565499,-77.973865
